"dateTime","value"
"2018-03-20","3644"
"2018-03-21","0"
"2018-03-22","0"
"2018-03-23","6113"
"2018-03-24","8719"
"2018-03-25","7039"
"2018-03-26","14271"
"2018-03-27","4025"
"2018-03-28","12769"
"2018-03-29","7711"
"2018-03-30","8098"
"2018-03-31","5284"
"2018-04-01","6768"
"2018-04-02","7469"
"2018-04-03","9515"
"2018-04-04","6757"
"2018-04-05","8639"
"2018-04-06","11234"
"2018-04-07","785"
"2018-04-08","6627"
"2018-04-09","14948"
"2018-04-10","8325"
"2018-04-11","9812"
"2018-04-12","6170"
"2018-04-13","7767"
"2018-04-14","8421"
"2018-04-15","7284"
"2018-04-16","10075"
"2018-04-17","11250"
"2018-04-18","7232"
"2018-04-19","5804"
"2018-04-20","8312"
"2018-04-21","11515"
"2018-04-22","223"
"2018-04-23","0"
"2018-04-24","8511"
"2018-04-25","4714"
"2018-04-26","10670"
"2018-04-27","9558"
"2018-04-28","10345"
"2018-04-29","7388"
"2018-04-30","7137"
"2018-05-01","11155"
"2018-05-02","7363"
"2018-05-03","0"
"2018-05-04","879"
"2018-05-05","6830"
"2018-05-06","6971"
"2018-05-07","7086"
"2018-05-08","0"
"2018-05-09","7830"
"2018-05-10","8405"
"2018-05-11","8390"
"2018-05-12","5859"
"2018-05-13","7174"
"2018-05-14","7561"
"2018-05-15","6890"
"2018-05-16","8624"
"2018-05-17","9631"
"2018-05-18","10061"
"2018-05-19","4983"
"2018-05-20","5856"
"2018-05-21","9276"
"2018-05-22","6213"
"2018-05-23","8977"
"2018-05-24","7229"
"2018-05-25","7381"
"2018-05-26","5599"
"2018-05-27","8852"
"2018-05-28","10386"
"2018-05-29","8044"
"2018-05-30","526"
"2018-05-31","6211"
"2018-06-01","6599"
"2018-06-02","5476"
"2018-06-03","8027"
"2018-06-04","6294"
"2018-06-05","10967"
"2018-06-06","6760"
"2018-06-07","8424"
"2018-06-08","7336"
"2018-06-09","8506"
"2018-06-10","4439"
"2018-06-11","6836"
"2018-06-12","7710"
"2018-06-13","8787"
"2018-06-14","11604"
"2018-06-15","7728"
"2018-06-16","5462"
"2018-06-17","9039"
"2018-06-18","4659"
"2018-06-19","0"
"2018-06-20","0"
"2018-06-21","0"
"2018-06-22","0"
"2018-06-23","0"
"2018-06-24","0"
"2018-06-25","0"
"2018-06-26","26"
"2018-06-27","0"
"2018-06-28","0"
"2018-06-29","0"
"2018-06-30","0"
"2018-07-01","0"
"2018-07-02","9"
"2018-07-03","0"
"2018-07-04","0"
"2018-07-05","0"
"2018-07-06","0"
"2018-07-07","0"
"2018-07-08","0"
"2018-07-09","0"
"2018-07-10","0"
"2018-07-11","17"
"2018-07-12","0"
"2018-07-13","0"
"2018-07-14","0"
"2018-07-15","0"
"2018-07-16","18"
"2018-07-17","10"
"2018-07-18","0"
"2018-07-19","0"
"2018-07-20","0"
"2018-07-21","0"
"2018-07-22","0"
"2018-07-23","0"
"2018-07-24","0"
"2018-07-25","0"
"2018-07-26","0"
"2018-07-27","0"
"2018-07-28","0"
"2018-07-29","0"
"2018-07-30","0"
"2018-07-31","0"
"2018-08-01","0"
"2018-08-02","0"
"2018-08-03","10"
"2018-08-04","85"
"2018-08-05","2245"
"2018-08-06","3949"
"2018-08-07","0"
"2018-08-08","1568"
"2018-08-09","2626"
"2018-08-10","5562"
"2018-08-11","6865"
"2018-08-12","1987"
"2018-08-13","1891"
"2018-08-14","8458"
"2018-08-15","6434"
"2018-08-16","10156"
"2018-08-17","8703"
"2018-08-18","6836"
"2018-08-19","1333"
"2018-08-20","0"
"2018-08-21","6908"
"2018-08-22","8117"
"2018-08-23","3023"
"2018-08-24","5177"
"2018-08-25","2805"
"2018-08-26","34"
"2018-08-27","4621"
"2018-08-28","5162"
"2018-08-29","6037"
"2018-08-30","9541"
"2018-08-31","6260"
"2018-09-01","1450"
"2018-09-02","0"
"2018-09-03","4035"
"2018-09-04","3209"
"2018-09-05","5818"
"2018-09-06","8093"
"2018-09-07","8501"
"2018-09-08","1333"
"2018-09-09","3433"
"2018-09-10","7298"
"2018-09-11","3944"
"2018-09-12","8228"
"2018-09-13","5269"
"2018-09-14","3181"
"2018-09-15","1673"
"2018-09-16","5206"
"2018-09-17","6721"
"2018-09-18","7403"
"2018-09-19","7782"
"2018-09-20","9921"
"2018-09-21","5960"
"2018-09-22","11631"
"2018-09-23","11803"
"2018-09-24","4704"
"2018-09-25","5725"
"2018-09-26","5040"
"2018-09-27","7137"
"2018-09-28","8751"
"2018-09-29","0"
"2018-09-30","1538"
"2018-10-01","5583"
"2018-10-02","4048"
"2018-10-03","7469"
"2018-10-04","4428"
"2018-10-05","1846"
"2018-10-06","1641"
"2018-10-07","5959"
"2018-10-08","879"
"2018-10-09","3700"
"2018-10-10","8343"
"2018-10-11","1287"
"2018-10-12","2535"
"2018-10-13","530"
"2018-10-14","1720"
"2018-10-15","3419"
"2018-10-16","6585"
"2018-10-17","5717"
"2018-10-18","415"
"2018-10-19","2140"
"2018-10-20","1344"
"2018-10-21","1475"
"2018-10-22","7296"
"2018-10-23","8342"
"2018-10-24","10062"
"2018-10-25","5228"
"2018-10-26","9791"
"2018-10-27","3148"
"2018-10-28","2685"
"2018-10-29","7123"
"2018-10-30","10691"
"2018-10-31","2615"
